day,date,title,scripture,verse,pdf_page
158,六月七日,每天降服於上帝,「將你的心降服於上帝，在禱告中投靠祂，並斷絕你的罪——即使是你暗中所犯的罪。這樣，你就不會蒙羞；並且滿有信心，無所畏懼。你的煩惱將如流水般消逝，而你最黑暗的夜晚將比正午的陽光更明亮。你會安然歇息，充滿盼望，沒有絲毫憂慮。」,約伯記11:13-18（CEV意譯）,167
159,六月八日,妥協會使你達不到自己的人生目的,「但以理卻下定決心⋯免得玷污自己。」,但以理書1:8（新普及譯本）,168
160,六月九日,上帝如何消除我們的過失,「上帝取消了那對我們不利、法律上束縛我們的罪債記錄，把它釘在十字架上，毀掉了它。」,歌羅西書2:14（現中修訂版）,169
161,六月十日,承諾之前要先祈禱,「所以，你們的生活要謹慎，不要像愚昧人，倒要像智慧人；要在這邪惡的日子把握每一個機會。」,以弗所書5:15-16（新普及譯本）,170
162,六月十一日,終身學習之旅,「你要全心領受教誨，側耳聆聽知識的言語。」,箴言23:12（新普及譯本）,171
163,六月十二日,上帝不願你憂慮,「永遠不要為任何事情憂慮。」,腓立比書4:6（ISV意譯）,172
164,六月十三日,人們永遠放棄得太早,「因此，我們絕不氣餒。縱然我們的身體日漸衰殘，我們的心靈卻日日更新。我們目前的苦難輕微而短暫，但它們帶給我們的榮耀卻是無法衡量並且永遠長存！」,哥林多後書4:16-17（新普及譯本）,173
165,六月十四日,毫無疑問,「那在你們裡面的比那在世上的更大。」,約翰一書4:4（新譯本）,174
166,六月十五日,你是否受教？,「自高自大的人不喜歡被糾正；他們從不向智者求教。」,箴言15:12（NCV意譯）,175
167,六月十六日,透過人際關係去體會你的人生目的,「我們就像人體各個部份。每部份都由整個身體上找到自己的存在意義，而不是反其道而行⋯作為身體的一部份，我們每一位都找到自己的存在意義和功能。但如果我們是被砍下來的手指或腳趾，就沒有甚麼作用了，對吧？」,羅馬書12:4-5（信息本意譯）,176
168,六月十七日,上帝從火裏帶出新生命,「讚美沙得拉、米煞、亞伯尼歌的上帝！他差遣他的天使拯救信靠他的僕人。他們違抗王令，寧死也不事奉、敬拜他們上帝以外的神明。」,但以理書3:28（新普及譯本）,177
169,六月十八日,預備去做各樣美善的事,「你如果潔身自愛，就會成為有尊貴用途的特殊器皿；你的生命將是潔淨的，你也會準備好被主人使用，去做各樣美善的事。」,提摩太後書2:21（新普及譯本）,178
170,六月十九日,有時上帝以沉默來說話,「若上帝保持沉默，那又與你何干？若祂掩起臉來，你又可以做甚麼？但是無論是沉默還是躲藏，祂都在那裡，統管著萬有。」,約伯記34:29（信息本意譯）,179
171,六月二十日,上帝會祝福你的順服,「講完之後，耶穌對西門說：『現在把船划到水深的地方，撒網捕魚吧！』西門就說：『老師，我們勞碌了一整夜，甚麼也沒捕到。不過，既然你這樣吩咐，我就再下網吧。』」,路加福音5:4-5（新普及譯本）,180
172,六月二十一日,一起奔跑,「我們要設法激勵大家彼此相愛、行善；不可像某些人那樣忽略聚會，倒要彼此鼓勵，特別是主再來的日子越來越近了。」,希伯來書10:24-25（新普及譯本）,181
173,六月二十二日,當你需要暫緩一下時,「但以理立刻去見王，請求王寬限一些時間，以便他能把那個夢的意思告訴王。」,但以理書2:16（新普及譯本）,182
174,六月二十三日,你怎樣應付你的恐懼？,「不要懼怕，因為我已經救贖了你。我已經提名召喚你，你是屬於我的。你經過深水，我要與你同在。」,以賽亞書43:1-2（新普及譯本）,183
175,六月二十四日,你如何寬恕？,「一切都是出於上帝；他藉著基督使我們與他和好，又將勸人與他和好的職分賜給我們。」,哥林多後書5:18（和合本上帝版）,184
176,六月二十五日,在黑暗中照耀的光,「要給飢餓的人食物，幫助那些陷入困境的。這樣，你的光就會在黑暗中照耀⋯上主要一直引導你，在你乾渴時賜水給你。」,以賽亞書58:10-11（新普及譯本）,185
177,六月二十六日,你會面對的巨人,「每個聚集在這裏的人也都會知道，上主拯救他的子民，沒有用一刀一槍。這場戰爭是屬於上主的，他必會把你們交給我們！」,撒母耳記上17:47（新普及譯本）,186
178,六月二十七日,耶穌來幫助傷痛的人,「主的靈在我身上，因為他膏立我去向窮人傳福音；他差遣我去宣告被擄的得釋放，瞎眼的得看見，受壓迫的得自由：他差遣我去宣告主的恩年。」,路加福音4:18-19（新漢語譯本）,187
179,六月二十八日,説出自己的感覺就是康復的開始,「你們要互相認罪，彼此代禱，使你們得醫治。」,雅各書5:16（現代中文譯本修訂版）,188
180,六月二十九日,聖靈是你的教師,「聖靈會教導你們所有的事，也要使你們想起我對你們說過的一切。」,約翰福音14:26（新普及譯本）,189
181,六月三十日,是時候對自己坦白,「上主賜給我們心智和良心，誰也無法隱瞞自己。」,箴言20:27（現中修訂版）,190
182,七月一日,向上帝傾訴你的感覺,「我赤身出娘胎，也要赤身離世。上主賞賜我的，上主又取走了；上主的名當受頌讚！」,約伯記1:21（新普及譯本）,192
183,七月二日,喜樂是一個選擇,「雖然無花果樹不開花，葡萄樹上沒有葡萄；雖然橄欖樹失收，田地空空不產糧；雖然羊羣死在野外，牛棚中也空空蕩蕩；我卻要因上主而歡喜！要因拯救我的上帝而快樂！」,哈巴谷書3:17-18（新普及譯本）,193
184,七月三日,誰會為你的時間負責？,「求你指教我們怎樣數算自己的日子，好叫我們得著智慧的心。」,詩篇90:12（和合本上帝版）,194
185,七月四日,你需要一首新的主題曲,「我們擊潰一切妨礙人去認識上帝的驕傲自恃，又俘獲了人叛逆的思想，教導他們順服基督。」,哥林多後書10:5（新普及譯本）,195
186,七月五日,昂然前進，別再回頭看,「你要存心正直；你要尋求上帝。這樣，你就能無愧地面對世界，堅定不移，無所懼怕。你將忘記一切的禍患，像流水一樣從人的記憶中消逝。」,"約伯記11:13,15-16（現代中文譯本修訂版）",196
187,七月六日,竊取平安的小偷,「我要留給你們一份禮物，那就是心靈的平安。我賜給你們的平安，是這個世界無法給予的。因此你們不必憂慮，也不要害怕。」,約翰福音14:27（新普及譯本）,197
188,七月七日,上帝不會回答一切問題,「因為不管我擁有甚麼，我都學會了知足。無論我幾乎一無所有，還是樣樣都有，我都懂得如何生活。無論是飽足是飢餓，是豐富是貧乏，在各種處境中我都學會了生活的秘訣。因為藉著那賜給我力量的基督，我凡事都能做。」,腓立比書4:11-13（新普及譯本）,198
189,七月八日,為上帝挺身而出,「所以，你絕不要因為向人傳講我們的主而感到羞恥⋯藉著上帝賜給你的力量，你要準備為福音的緣故跟我一同受苦。」,提摩太後書1:8（新普及譯本）,199
190,七月九日,選擇敬拜，不要憂慮,「如果你們熱心行善，誰會想傷害你們呢？就算你們為了行義而受苦，上帝也會為此獎賞你們。你們不要憂慮，也不要怕別人的恐嚇，只要敬拜基督，以他為你們生命的主。」,彼得前書3:13-15（新普及譯本）,200
191,七月十日,上帝無論如何都愛你,「因為他知道我們的本體，記得我們不過是塵土。」,詩篇103:14（新譯本）,201
192,七月十一日,上帝會幫助你成功,「我們可以籌劃自己的路，但上主指引我們的腳步。」,箴言16:9（新普及譯本）,202
193,七月十二日,失敗也許對你有好處,「人若掩蓋自己的罪惡，必不亨通。」,箴言28:13（新普及譯本）,203
194,七月十三日,在基督裏的新生命,「這就是説，凡屬基督的人都已經成為新人，舊生命過去了，新生命已經開始！」,哥林多後書5:17（新普及譯本）,204
195,七月十四日,上帝如何解答你的恐懼,「我們知道上帝多麼愛我們，我們也信任他的愛。⋯因為完全的愛能驅走一切的懼怕。」,"約翰一書4:16,18（新普及譯本）",205
196,七月十五日,不、慢慢來、要成長、去吧,「你們作父親的，如果孩子要一條魚，你會給他們蛇嗎？孩子要一隻蛋，你會給他們蠍子嗎？當然不會！你們這些有罪的人尚且知道拿好東西給自己的孩子，更何況你們的天父呢？他會把聖靈賜給那些向他祈求的人。」,路加福音11:11-13（新普及譯本）,206
197,七月十六日,堅忍禱告的力量,「保持警醒，完全堅忍⋯祈求。」,以弗所書6:18（新漢語譯本）,207
198,七月十七日,挫折不會改變上帝的旨意,「保羅，不要怕，你必定要站在凱撒面前受審！而且，仁慈的上帝已答應保護你同船的人平安無事。」,使徒行傳27:24（新普及譯本）,208
199,七月十八日,愛是一個選擇,「你要選擇生命⋯愛耶和華你的神，聽從他的話，緊靠他。」,申命記30:19-20（新譯本）,209
200,七月十九日,督責和醫治,「你們要彼此認罪，互相代求，好使你們得到醫治。」,雅各書5:16（新普及譯本）,210
201,七月二十日,你怎樣知道自己得救？,「你們得救是靠著恩典，藉著信心，這不是出於自己，而是神所賜的，這也不是出於行為，免得有人自誇。」,以弗所書2:8-9（新譯本）,211
202,七月二十一日,驕傲的心會抵擋上帝,「神抵擋驕傲的人，賜恩典給謙卑的人。因此，你們要服從神。」,雅各書4:6-7（新譯本）,212
203,七月二十二日,讓上帝掌軚,「如果有人願意跟從我，就當捨己，背起他的十字架來跟從我。」,馬太福音16:24（新譯本）,213
204,七月二十三日,鼓勵他人,「互相鼓勵，彼此造就。」,帖撒羅尼迦前書5:11（新普及譯本）,214
205,七月二十四日,學會知足,「滿足於眼前的，勝於渴望求多。不斷的渴求是虛空，如同捕風。」,傳道書6:9（NET聖經中譯本）,215
206,七月二十五日,上帝賜給你智慧,「要完全信靠上主，不可倚仗自己的聰明。你無論做甚麼，都要尋求他的心意，他必指示你當走的路。不要自以為有智慧，要敬畏上主，遠離邪惡。」,箴言3:5-7（新普及譯本）,216
207,七月二十六日,你所需要的一切都來自上帝,「我的神必照他在基督耶穌裡榮耀的豐富，滿足你們的一切需要。」,腓立比書4:19（新譯本）,217
208,七月二十七日,你的心思很重要,「最後，弟兄們，凡是真實的、莊重的、公正的、純潔的、可愛的、聲譽好的，無論是甚麼美德，甚麼稱讚，這些事你們都應當思念。」,腓立比書4:8（新譯本）,218
209,七月二十八日,重要還是需要,「親愛的馬大啊，你盡為這些瑣事操心煩惱！真正要緊的事只有一件，馬利亞已經找到了，而這是不會被奪走的。」,路加福音10:41-42（新普及譯本）,219
210,七月二十九日,上帝就是真理,「上帝讓人看到如何分辨對錯，如何時刻作出正確的決定。」,箴言2:9（TLB意譯）,220
211,七月三十日,祝福的收成,「不要厭倦行善。如果我們不放棄，時候一到，就會收穫豐盛的祝福。」,加拉太書6:9（新普及譯本）,221
212,七月三十一日,沒有愛，我就一貧如洗,「無論我說甚麼、信甚麼、做甚麼，若我沒有愛，我就一貧如洗。」,哥林多前書13:3（TheMessage意譯）,222
213,八月一日,按上帝的價值觀而活,「在他看來，為著基督受的凌辱，比埃及的財物更寶貴，因為他注視將來的賞賜。」,希伯來書11:26（新譯本）,224
214,八月二日,寬恕是無條件的,「父啊，饒恕他們！因為他們不知道自己在做甚麼。」,路加福音23:34（新普及譯本）,225
215,八月三日,同理心的重要性,「你們各人都要同心合意，互相體恤，像兄弟姊妹一樣彼此相愛。要有溫柔的心，也要保持謙虛的態度。」,彼得前書3:8（新普及譯本）,226
216,八月四日,挫折的目的,「愚妄人的惱怒立時顯露，精明的人卻能忍受羞辱。」,箴言12:16（新譯本）,227
217,八月五日,要願意被打擾,「耶穌對他説：『你去，照樣做吧！』」,路加福音10:37（和合本2010）,228
218,八月六日,傾聽上帝的聲音,「上帝會以不同的方式向人說話―即使人們不一定會明白。」,約伯記33:14（NCV意譯）,229
219,八月七日,祝福那反對你的人,「所有信的人都在一起，凡物公用，並且變賣產業和財物，按照各人的需要分給他們。」,使徒行傳2:44-45（新譯本）,230
220,八月八日,當你等候時，上帝正在作工,「上主啊，清晨求你聆聽我的聲音；我每天清晨向你懇求，並滿懷期望地等候。」,詩篇5:3（新普及譯本）,231
221,八月九日,上帝的真理會使你自由,「如果你們忠於我的教導，就真是我的門徒了。你們將會明白真理，真理也必使你們得自由。」,約翰福音8:31-32（新普及譯本）,232
222,八月十日,耶穌會在風暴中與你相遇,「大約凌晨三點的時候，耶穌從水面上向門徒走去。」,馬可福音6:48（新普及譯本）,233
223,八月十一日,以上帝的方式重新得力,「因耶和華的慈愛，我們不致滅絕，因他的憐憫永不斷絕，每早晨，這都是新的；你的信實極其廣大！我心裏説：耶和華是我的福分，因此，我要仰望他。」,耶利米哀歌3:22-24（和合本2010）,234
224,八月十二日,如何應付屬靈爭戰,「因為我們的爭戰並不是對抗有血有肉的人，而是對抗那些執政的、掌權的、管轄這幽暗世界的，以及天空靈界的惡魔。」,以弗所書6:12（和合本2010）,235
225,八月十三日,你可以對抗感覺,「憑着信，摩西不懼怕王的憤怒，離開了埃及地。他一直堅定不移，是因為他一直注視着不可見的那一位。」,希伯來書11：27（新普及譯本）,236
226,八月十四日,選擇信心，而不是恐懼,「許多人喝斥他：『住嘴！」』他卻喊得更響了：『大衞之子啊，可憐我吧！』耶穌聽見就停下來，說：『叫他過來。』」,馬可福音10:48-49（新普及譯本）,237
227,八月十五日,你想耶穌為你作甚麼？,「耶穌問他：『你要我為你做甚麼？』盲人回答：『老師，我要能看見！』」,馬可福音10:51（現代中文譯本修訂版）,238
228,八月十六日,無愧於心的人生,「他沒有為我們所有的罪過懲罰我們，也沒有按我們應得的嚴懲處置我們。東離西有多遠，他使我們的罪過離我們也有多遠。」,"詩篇103：10,12（新普及譯本）",239
229,八月十七日,掌控的危機,「營地裏只剩下雅各一人，有個人來跟他摔跤，一直到黎明。那人見勝不了雅各，就在雅各的大腿窩摸了一下，使他的大腿關節脫臼。」,創世紀32:24-25（新普及譯本）,240
230,八月十八日,以基督為你生命的軸心,「你們要以追求上帝的國為最重要的事，過公義的生活，他就會賜你們一切所需要的。」,馬太福音6:33（新普及譯本）,241
231,八月十九日,上帝有一個特殊任務給你,「由於那個女人說『他把我做過的事全都說出來了』，村裏的許多撒馬利亞人就信了耶穌。」,約翰福音4:39（新普及譯本）,242
232,八月二十日,耶穌為心碎的人而來,「差遣我去醫治破碎的心。」,路加福音4:18（NKJV意譯）,243
233,八月二十一日,關乎信靠,「我要你在患難中信靠我，我就可以搭救你，而你也可以榮耀我。」,詩篇50:15（TLB意譯）,244
234,八月二十二日,説不的力量,「你們並不是受罪惡的本性掌管；如果你們有上帝的靈住在你們裏面，你們便是受聖靈的掌管。」,羅馬書8:9（新普及譯本）,245
235,八月二十三日,耶穌知道你的名字,「耶穌走到那地方，抬頭看撒該，對他說：『撒該。』」,路加福音19:5（現代中文譯本修訂版）,246
236,八月二十四日,你的信心可以移山,「對上帝要有信心！我鄭重地告訴你們，你們若對這座山說：『起來，投到海裏去！』只要心裏不疑惑，確信所說的一定實現，這事就會為你們實現。所以，我告訴你們，你們禱告，無論求甚麼，相信是得著了，就會得到你們所求的。」,馬可福音11:22-24（現代中文譯本修訂版）,247
237,八月二十五日,選擇信靠上帝,「憑着信，挪亞造了一艘大船，在洪水中救了他全家。上帝預先警告挪亞，告訴他從未發生過的事，他就順服了上帝。」,希伯來書11:7（新普及譯本）,248
238,八月二十六日,管好嘴巴,「上主啊，求你約束我的言語，看管我的嘴唇。」,詩篇141：3（新普及譯本）,249
239,八月二十七日,得自由的唯一方法,「我就是門，凡是通過我進來的，必定得救。」,約翰福音10:9（新普及譯本）,250
240,八月二十八日,背誦經文的重要性,「整部聖經都是人在上帝的感動下寫的，它能教導我們甚麼是真理，指出我們生活中犯了甚麼錯誤，糾正我們的過犯，教導我們做正確的事。」,提摩太後書3:16（新普及譯本）,251
241,八月二十九日,上帝為你定下了計劃,「為我所定的日子，我還未度過一日，都完全記在你的冊上了。」,詩篇139：16（新譯本）,252
242,八月三十日,信心是預先感謝上帝,「所以我告訴你們，凡是你們禱告祈求的，只要相信能夠得到，就必得到。」,馬可福音11:24（新譯本）,253
243,八月三十一日,以悔改來重新開始,「我們要檢討和省察自己的行為，然後歸向耶和華。我們要向天上的神，誠心舉手禱告：『我們犯罪悖逆。』」,耶利米哀歌3:40-42（新譯本）,254
244,九月一日,平衡你的生活,「要花時間和精力去鍛煉自己，保持靈命健壯。」,提摩太前書4:7（TLB意譯）,256
245,九月二日,要饒恕人，因為你已被饒恕,「主已經饒恕了你們，你們也必須饒恕別人。」,歌羅西書3:13（新普及譯本）,257
246,九月三日,用上帝的話語餵養你的心靈,「邪惡的事，我都不擺在眼前；離開正路的人所作的事，我都恨惡，決不容這些沾染我。」,詩篇101:3（新譯本）,258
247,九月四日,享受上帝的恩賜,「如果上帝賜給人產業財富，讓他享受，他就應當接受並享受勞碌的成果。這是上帝的恩賜。」,傳道書5:19（現代中文譯本修訂版）,259
248,九月五日,讓每一步都滿有意義,「所有運動員都要受嚴格的訓練，他們這樣做，只為贏得那會日漸失色的獎賞，但我們這樣做，是為了永恆的獎賞。所以，我每一步都朝着目標奔跑。我不是向空氣揮拳。」,哥林多前書9:25-26（新普及譯本）,260
249,九月六日,上帝對你有甚麼看法？,「你們是被揀選的子民，是王室的祭司，是聖潔的國民，是上帝自己的產業⋯你們能夠讓別人看見上帝的美善。」,彼得前書2:9（新普及譯本）,261
250,九月七日,送上你的關心作禮物,「不要只顧自己的利益，也要考慮別人的利益。」,腓立比書2:4（新普及譯本）,262
251,九月八日,永生的道路,「上帝啊，求你鑒察我，瞭解我的心；考驗我，知道我切切記掛的。求你指出我裏面何處得罪了你，引導我走永生的道路。」,詩篇139:23-24（新普及譯本）,263
252,九月九日,站立得穩,「信靠耶和華你們的神，你們就必堅立；信靠他的先知，你們就必亨通。」,歷代志下20:20（新譯本）,264
253,九月十日,專心致志,「手扶著犁向後看的，不適合進神的國。」,路加福音9:62（新譯本）,265
254,九月十一日,人生就是熱誠,「[耶穌説]你要全心、全性、全意、全力，愛主你的神。」,馬可福音12：30（新譯本）,266
255,九月十二日,你不需要帶著罪疚感而活,「遮掩自己過犯的，必不亨通；承認並離棄過犯的，必蒙憐憫。」,箴言28:13（新譯本）,267
256,九月十三日,有關物質的問題,「你如果賺得全世界，卻賠上自己的靈魂，又有甚麼益處呢？有甚麼比自己的靈魂更寶貴呢？」,馬太福音16:26（新普及譯本）,268
257,九月十四日,需要額外恩典的人,「求上帝祝福那些逼害你的人——是的，求祂祝福，不要詛咒。」,羅馬書12:14（現代中文譯本修訂版/意譯）,269
258,九月十五日,耶穌拯救謙卑的人,「至於我，我是困苦貧窮的；神啊！求你快快到我這裏來；你是我的幫助，我的拯救；耶和華啊！求你不要耽延。」,詩篇70:5（新譯本）,270
259,九月十六日,靠信心播種,「一粒麥子若不落在地裡死了，仍舊是一粒；如果死了，就結出許多果實來。」,約翰福音12:24（新譯本）,271
260,九月十七日,上帝對你人生的計劃,「既然每一個人都是上帝各樣恩賜的好管家，就要照著從上帝所領受的種種恩賜，彼此服事。」,彼得前書4:10（現代中文譯本修訂版）,272
261,九月十八日,救恩的喜樂,「求你使我重得你救恩的喜樂，重新有樂意的靈支持我。」,詩篇51:12（新譯本）,273
262,九月十九日,上帝永遠準時,「馬大對耶穌説：『主啊，如果你早在這裏，我的兄弟就不會死了！就是現在，我也知道無論你向神求甚麼，神必賜給你。』耶穌對她説：『你的兄弟必會復活。』」,約翰福音11:21-23（新譯本）,274
263,九月二十日,服侍的喜樂,「即使我失去生命，像獻給上帝的奠祭那樣傾倒我的生命，我也要歡喜；這奠祭如同你們忠心的服侍，都是獻給上帝的祭。我希望你們大家都來分享這種喜樂。」,腓立比書2:17（新普及譯本）,275
264,九月二十一日,上帝可以使你復興,「如果你轉向我，我就使你復興，好叫你繼續事奉我。」,耶利米書15:19（新普及譯本）,276
265,九月二十二日,投資於永恆,「你還要吩咐他們用錢財行善，他們應該多做善事，慷慨供應有需要的人，並且隨時準備跟別人分享。他們這樣做就是在積聚自己的財富，奠定未來美好的基礎，讓他們能夠體驗真正的生命。」,提摩太前書6:18-19（新普及譯本）,277
266,九月二十三日,上帝與你同一陣線,「因為上帝正在你們裏面工作，給你們意願和能力做他所喜悅的事。」,腓立比書2:13（新普及譯本）,278
267,九月二十四日,上帝給你偉大的夢想,「願榮耀歸給神，就是歸給那能照著運行在我們裏面的大能，充充足足地成就一切，超過我們所求所想的。」,以弗所書3:20（新譯本）,279
268,九月二十五日,夢想藉著決定來實現,「我的弟兄們，人若説他有信心，卻沒有行為，有甚麼益處呢？⋯⋯照樣，如果只有信心，沒有行為，這信心就是死的。也許有人要説，你有信心，我有行為；請把你沒有行為的信心指給我看，我就藉著我的行為，把我的信心指給你看。」,雅各書2:14，17-18（新譯本）,280
269,九月二十六日,當上帝延誤你的夢想,「因這異象關乎一定的日期，很快就要實現，決不徒然；縱有遲延，仍當等候，因為它一定會來到，絕不耽誤。」,哈巴谷書2:3（新譯本）,281
270,九月二十七日,困難會拓展你的夢想,「為此，你們大大歡喜——儘管如今你們在各樣試煉中必須暫時憂愁，好讓你們的信心經過試驗，就能比那被火試驗仍能毁壞的金子更為寶貴。」,彼得前書1:6-7（新漢語譯本）,282
271,九月二十八日,當你感到夢想已經枯萎,「當亞伯拉罕裡面毫無盼望的時候，仍然憑信心懷著盼望⋯⋯他仰賴上帝的話語。」,羅馬書4:18（PHILLIPS意譯）,283
272,九月二十九日,告別羞愧,「如果上帝說他已悅納祂所揀選的人，又有誰能指控他們呢？或有誰能譴責他們呢？完全沒有！」,羅馬書8:33-34（CEV意譯）,284
273,九月三十日,上帝會將你從困境中解救出來,「我的心也大大戰慄，耶和華啊！要等到幾時呢？耶和華啊！求你回轉搭救我，因你慈愛的緣故拯救我。」,詩篇6:3-4（新譯本）,285
274,十月一日,倉促是祈禱的致命傷,「要在上主面前靜默，耐心等候他來工作。」,詩篇37:7（新普及譯本）,287
275,十月二日,上帝的恩典會助你渡過難關,「我寫信是要鼓勵你們，讓你們確信自己現在所經歷的實在是上帝恩典的一部分。你們要在這恩典中站穩。」,彼得前書5:12（新普及譯本）,288
276,十月三日,刻不容緩的使命,「差我們來的那位給我們委派了工作，我們必須趕快完成。黑夜將到，那時誰都不能做工了。」,約翰福音9:4（新普及譯本）,289
277,十月四日,智慧人尋求教導,「指教智慧人，他們便更有智慧；教導義人，他們就學得更多。」,箴言9:9（新普及譯本）,290
278,十月五日,無論如何,「如果你口裏宣認耶穌為主，心裏信上帝使他從死裏復活，你就會得救。因為我們心裏這樣信，就得以成為義人，口裏這樣宣認，就會得救。」,"羅馬書10:9,10（現代中文譯本修訂版）",291
279,十月六日,受傷時如何敬拜,「你們要向上主歌唱！要讚美上主！因為我雖然貧窮缺乏，他卻救我擺脫欺壓我的人。」,耶利米書20:13（新普及譯本）,292
280,十月七日,先設法了解,「要對彼此充滿同情，以溫柔的心和謙虛的態度彼此相愛。」,彼得前書3:8（意譯）,293
281,十月八日,愛能把工作變成事工,「讓我們自己的人學習努力行善，來供給生活上的需要；不要作閒散無用的人。」,提多書3:14（現代中文譯本修訂版）,294
282,十月九日,不要懷疑你的救恩,「我把這些事寫給你們這些相信上帝兒子之名的人，好讓你們知道自己有永生。」,約翰一書5:13（新普及譯本）,295
283,十月十日,培養積極的信仰,「我祈求上帝，願你們積極分享信仰，好叫你們充份明白我們在基督裡所得的各樣美事。」,腓利門書1:6（NIV意譯）,296
284,十月十一日,你無需再裝模作樣,「我要自由自在地生活，因為我遵守你的教導。」,詩篇119:45（現代中文譯本修訂版）,297
285,十月十二日,上帝會造出傑作,「上帝總是言出必行，而祂所作的盡都慈愛。上帝扶持那些不幸的人，給那些想要放棄的人一個新開始。」,"詩篇145:13,14（TheMessage意譯）",298
286,十月十三日,讓你的苦難變得有意義,「我們也能夠歡喜，因為我們知道，這些經歷能使我們生出忍耐。」,羅馬書5:3（新普及譯本）,299
287,十月十四日,當你粗魯無禮時，就絕對沒有説服力,「明智人以通達見稱；說話越溫雅，說服力越強。」,箴言16:21（現代中文譯本修訂版）,300
288,十月十五日,要服侍他人，就要睜開眼睛,「要為其他人的好處着想。」,哥林多前書10:24（新普及譯本）,301
289,十月十六日,福音有何福？,「你們要到世界各地去，向所有人傳揚福音。」,馬可福音16:15（新普及譯本）,302
290,十月十七日,我們同舟共濟,「人不要求自己的好處，卻要求別人的好處。」,哥林多前書10:24（新譯本）,303
291,十月十八日,上帝是良善與慈愛的,「我一生的日子，你的恩惠與慈愛必會緊緊跟隨著我，我要住在上主的殿中，直到永遠。」,詩篇23:6（新普及譯本）,304
292,十月十九日,事奉是改善人際關係的關鍵,「你們要有我那樣的心懷，因為我彌賽亞不是來受人服侍，而是要服侍人，並且要犧牲自己的性命，作多人的贖價。」,馬太福音20:28（TLB意譯）,305
293,十月二十日,你可以在上帝面前稱義,「福音顯明上帝如何使人靠祂稱義。」,羅馬書1:17（NCV意譯）,306
294,十月二十一日,不要等到萬事俱備,「如果你等待萬事俱備，你將一事無成。」,傳道書11:4（TLB意譯）,307
295,十月二十二日,如何靠上帝的力量而活,「因為上帝的國不在於誇誇其談，而在於上帝的能力。」,哥林多前書4:20（新普及譯本）,308
296,十月二十三日,接納並不意味著贊同,「⋯⋯彼此接納，就像基督接納了你們，好讓上帝得到榮耀。」,羅馬書15:7（新普及譯本）,309
297,十月二十四日,上帝創造你，是為了帶來改變,「我周詳地完成祢指派給我的工作，藉此在世上榮耀祢。」,約翰福音17:4（信息本意譯）,310
298,十月二十五日,感恩的祈禱帶來平安,「你們應該一無掛慮；要在禱告中把你們所需要的告訴上帝，用感謝的心祈求。上帝所賜那超越人所能理解的平安，會藉著基督耶穌，保守你們的心懷意念。」,腓立比書4:6-7（現代中文譯本修訂版）,311
299,十月二十六日,成爲別人的祝福,「我必賜福給你⋯⋯你也要叫別人得福。」,創世記12:2（和合本）,312
300,十月二十七日,改變是一個選擇,「你們要披上新性情，學習認識你們的創造主，使生命不斷地更新，變得像他一樣。」,歌羅西書3:10（新普及譯本）,313
301,十月二十八日,溫柔不等於軟弱,「溫柔的人有福了！因為他們必承受地土。」,馬太福音5:5（和合本）,314
302,十月二十九日,智慧是一種生活方式,「你們中間誰是有智慧、有見識的呢？他就應當有美好的生活，用明智的溫柔，把自己的行為表現出來。」,雅各書3:13（新譯本）,315
303,十月三十日,如何愛那不討人喜歡的人,「⋯⋯要喜樂，要長大成熟，彼此鼓勵，也要和諧和睦地相處。這樣，那慈愛平安的上帝就必與你們同在。」,哥林多後書13:11（新普及譯本）,316
304,十月三十一日,上帝在哪裡作工？,「上主看見摩西走近，就從荊棘中喊他：『摩西！摩西！』摩西回答：『是，我在這裏！』」,出埃及記3:4（現代中文譯本修訂版）,317
305,十一月一日,上帝對人生意義的秘訣,「你要為不能自辯的人開口說話，為所有貧苦的人伸冤。你要開口說話，秉公審判，為困苦和窮乏的人伸冤。」,箴言31:8-9（新譯本）,319
306,十一月二日,信心讓你繼續前進,「儘管我們被四面八方的磨難壓迫，卻沒有被壓垮；困惑迷惘，卻不致絕望；遭人追逼，卻不被上帝丟棄；被人打倒，卻不致死亡。」,哥林多後書4:8-9（新普及譯本）,320
307,十一月三日,説話要有智慧,「舌頭雖然微小，但卻能帶來多麼大的破壞。星星之火可以燎原，舌頭也能將我們整個人生變為毁滅與災難的烈火。」,雅各書3:5-6（TLB意譯）,321
308,十一月四日,你的時間僅夠去遵行上帝的旨意,「起初，上帝創造天地。」,創世記1:1（新普及譯本）,322
309,十一月五日,實現你的夢想,「你們行事為人要謹慎。不要像愚昧人，倒要像智慧人。要善用每個機會來行善。不要草率行事，卻要嘗試明白與實踐主想要你們做的事。」,以弗所書5:15-17（TLB意譯）,323
310,十一月六日,禱告並不是⋯⋯,「有一天，耶穌在一個地方祈禱，祈禱完了，有一個門徒對他說：『主啊，求你教導我們禱告⋯』」,路加福音11:1（新譯本）,324
311,十一月七日,上帝對你的愛永不止息,「山丘也許會崩塌；但我對你的愛永無窮盡。」,以賽亞書54:10（GNT意譯）,325
312,十一月八日,著眼於會發生的事,「當上帝談及未來的事，就如談及過去了的事那麼確實。」,羅馬書4:17（TLB意譯）,326
313,十一月九日,上帝對付試探的方法,「並且把一切心意奪回來，順服基督。」,哥林多後書10:5（新譯本）,327
